ID;TIMON
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
59;12102
60;12101
61;0
62;0
63;0
64;0
65;0
66;2
67;4
68;5
69;7
70;10
71;11
72;12
73;13
74;14
75;15
76;16
77;17
78;18
79;19
80;20
81;22
82;23
83;24
84;25
85;26
86;27
87;28
88;29
89;30
90;31
91;32
92;33
93;34
94;35
95;36
96;37
97;38
98;39
99;40
100;41
101;42
102;43
103;44
104;45
105;46
106;47
107;48
108;49
109;50
110;51
111;52
112;53
113;54
114;55
115;57
116;59
117;60
118;61
119;62
120;63
121;64
122;65
123;67
124;68
125;69
126;70
127;71
128;72
129;73
130;74
131;75
132;76
133;77
134;78
135;79
136;80
137;81
138;83
139;84
140;85
141;86
142;87
143;88
144;89
145;90
146;91
147;92
148;93
149;94
150;95
151;97
152;99
153;100
154;101
155;102
156;103
157;104
158;106
159;107
160;108
161;111
162;112
163;113
164;114
165;115
166;116
167;117
168;118
169;119
170;121
171;123
172;124
173;125
174;126
175;127
176;128
177;129
178;130
179;131
180;132
181;133
182;134
183;135
184;136
185;137
186;138
187;139
188;140
189;141
190;142
191;143
192;144
193;145
194;146
195;147
196;148
197;149
198;150
199;151
200;152
201;153
202;154
203;155
204;156
205;157
206;158
207;159
208;160
209;161
210;162
211;163
212;165
213;167
214;168
215;169
216;170
217;171
218;172
219;173
220;174
221;175
222;176
223;177
224;178
225;179
226;180
227;181
228;182
229;183
230;184
231;185
232;186
233;187
234;188
235;189
236;190
237;191
238;192
239;193
240;195
241;196
242;197
243;198
244;199
245;200
246;201
247;202
248;203
249;204
250;205
251;206
252;207
253;208
254;209
255;210
256;211
257;212
258;213
259;214
260;215
261;216
262;217
263;218
264;219
265;220
266;221
267;222
268;223
269;224
270;225
271;226
272;227
273;228
274;229
275;230
276;231
277;232
278;233
279;234
280;235
281;236
282;237
283;238
